ID_MAPA,Subdistrict (English),District (English),year_week,Cases
TH100905,Bang Chak,Phra Khanong,2025-W27,2
TH103102,Wat Phraya Krai,Bang Kho Laem,2025-W27,0
TH102901,Bang Sue,Bang Sue,2025-W27,2
TH103502,Bang Kho,Chom Thong,2025-W27,3
TH102801,Thung Wat Don,Sathon,2025-W27,0
TH102004,Siriraj,Bangkok Noi,2025-W27,0
TH104902,Thung Khru,Thung Khru,2025-W27,0
TH104301,Khan Na Yao,Khan Na Yao,2025-W27,0
TH104002,Bang Khae Nuea,Bang Khae,2025-W27,0
TH100305,Khok Faet,Nong Chok,2025-W27,1
TH105003,Khlong Bang Bon Tai,Bang Bon,2025-W27,0
TH103902,Khlong Tan Nuea,Watthana,2025-W27,0
TH103001,Lat Yao,Chatuchak,2025-W27,0
TH101507,Samre,Thon Buri,2025-W27,0
TH104102,Talat Bang Khen,Lak Si,2025-W27,2
TH102701,Khlong Kum,Bueng Kum,2025-W27,0
TH103604,Don Mueang,Don Mueang,2025-W27,0
TH100502,Anusawari,Bang Khen,2025-W27,3
TH103203,Dok Mai,Prawet,2025-W27,1
TH102209,Pak Khlong Phasi,Phasi Charoen,2025-W27,0
TH103402,On Nut,Suan Luang,2025-W27,1
TH100701,Rong Mueang,Pathum Wan,2025-W27,0
TH104603,Bang Chan,Khlong Sam Wa,2025-W27,0
TH101505,Talat Phlu,Thon Buri,2025-W27,0
TH101203,Chong Nonsi,Yan Nawa,2025-W27,0
TH102402,Bang Pakok,Rat Burana,2025-W27,0
TH101504,Bukkhalo,Thon Buri,2025-W27,0
TH100704,Lumphini,Pathum Wan,2025-W27,0
TH102503,Bang Bamru,Bang Phlat,2025-W27,0
TH102207,Bang Waek,Phasi Charoen,2025-W27,0
TH102009,Arun Amarin,Bangkok Noi,2025-W27,1
TH104004,Lak Song,Bang Khae,2025-W27,0
TH102803,Thung Maha Mek,Sathon,2025-W27,0
TH103301,Khlong Toei,Khlong Toei,2025-W27,3
TH104003,Bang Phai,Bang Khae,2025-W27,0
TH101905,Bang Ramat,Taling Chan,2025-W27,2
TH100910,Phra Khanong Tai,Phra Khanong,2025-W27,0
TH102501,Bang Phlat,Bang Phlat,2025-W27,0
TH104402,Rat Phatthana,Saphan Sung,2025-W27,3
TH103903,Phra Khanong Nuea,Watthana,2025-W27,0
TH103605,Sanambin,Don Mueang,2025-W27,0
TH102504,Bang Yi Khan,Bang Phlat,2025-W27,0
TH100302,Nong Chok,Nong Chok,2025-W27,1
TH102303,Nong Khang Phlu,Nong Khaem,2025-W27,1
