Country,Year,Epi. Week (a),Total of Dengue Cases (b),Casos_Nuevos,iso3,area_km2,Population (historical),Inc_Nueva
Trinidad and Tobago,2022,8,7.0,0.5,TTO,7738.923479266789,1500687.8158204837,0.03331805554285991
Trinidad and Tobago,2022,9,7.5,0.5,TTO,7738.923479266789,1500802.2347757046,0.033315515423304604
Trinidad and Tobago,2022,10,8.0,0.5,TTO,7738.923479266789,1500916.6537309254,0.03331297569102973
Trinidad and Tobago,2022,11,8.5,0.5,TTO,7738.923479266789,1501031.0726861465,0.03331043634594672
Trinidad and Tobago,2022,12,9.0,0.5,TTO,7738.923479266789,1501145.4916413673,0.03330789738796704
Trinidad and Tobago,2022,13,10.25,1.25,TTO,7738.923479266789,1501259.9105965882,0.08326339704250547
Trinidad and Tobago,2022,14,11.5,1.25,TTO,7738.923479266789,1501374.329551809,0.0832570515824092
Trinidad and Tobago,2022,15,12.75,1.25,TTO,7738.923479266789,1501488.7485070298,0.08325070708940764
Trinidad and Tobago,2022,16,14.0,1.25,TTO,7738.923479266789,1501603.167462251,0.08324436356327972
Trinidad and Tobago,2022,17,14.5,0.5,TTO,7738.923479266789,1501717.5864174718,0.03329520840152177
Trinidad and Tobago,2022,18,15.0,0.5,TTO,7738.923479266789,1501832.0053726926,0.03329267176430433
Trinidad and Tobago,2022,19,15.5,0.5,TTO,7738.923479266789,1501946.4243279134,0.03329013551357123
Trinidad and Tobago,2022,20,16.0,0.5,TTO,7738.923479266789,1502060.8432831345,0.03328759964923414
Trinidad and Tobago,2022,21,16.642857142857142,0.6428571428571423,TTO,7738.923479266789,1502175.2622383554,0.04279508250583466
Trinidad and Tobago,2022,22,17.285714285714285,0.6428571428571423,TTO,7738.923479266789,1502289.6811935762,0.042791823102079046
Trinidad and Tobago,2022,23,17.92857142857143,0.6428571428571459,TTO,7738.923479266789,1502404.100148797,0.04278856419477808
Trinidad and Tobago,2022,24,18.571428571428573,0.6428571428571423,TTO,7738.923479266789,1502518.519104018,0.042785305783817625
Trinidad and Tobago,2022,25,19.214285714285715,0.6428571428571423,TTO,7738.923479266789,1502632.938059239,0.04278204786908502
Trinidad and Tobago,2022,26,19.857142857142858,0.6428571428571423,TTO,7738.923479266789,1502747.3570144598,0.042778790450466696
Trinidad and Tobago,2022,27,20.5,0.6428571428571423,TTO,7738.923479266789,1502861.7759696806,0.04277553352784931
