ADM1_NAME,date,temp_c,rh_mean,total_precipitation_sum
Amnat Charoen,2003-01-01,22.35205684277736,58.43898406480624,9.384734727565353e-05
Amnat Charoen,2003-02-01,26.01493226845014,60.8919203408,0.016479845494474274
Amnat Charoen,2003-03-01,26.75504302307911,63.80842668697445,0.06044460647510138
Amnat Charoen,2003-04-01,29.41710459188181,65.02198208360652,0.07461728364047152
Amnat Charoen,2003-05-01,28.79041056878623,71.7183156914503,0.2428309042858724
Amnat Charoen,2003-06-01,27.433141937464256,78.29639021348936,0.2056420160858264
Amnat Charoen,2003-07-01,27.226599774056297,80.25685171327774,0.1806703690053146
Amnat Charoen,2003-08-01,26.488778598014903,84.02166811341715,0.2953386607036872
Amnat Charoen,2003-09-01,25.54450918315075,87.76030962713057,0.3741785798028019
Amnat Charoen,2003-10-01,25.728165746657112,73.28499451823927,0.050162439054460314
Amnat Charoen,2003-11-01,25.069693781554122,63.31807868413007,0.006365375252731445
Amnat Charoen,2003-12-01,22.318780617922755,60.65979658795742,0.0003149920267009156
Amnat Charoen,2004-01-01,23.57818907800396,61.320126559586896,0.01371953188936245
Amnat Charoen,2004-02-01,23.434011868965683,60.72734697184947,0.017680881837433892
Amnat Charoen,2004-03-01,27.78505108456045,57.01590991722371,0.042496743971819545
Amnat Charoen,2004-04-01,29.13345873580181,63.68764288855233,0.06369613783540684
Amnat Charoen,2004-05-01,28.35676506604233,73.11884442160881,0.17086895995992504
Amnat Charoen,2004-06-01,27.132569660461456,77.50359448227263,0.2873328481014662
Amnat Charoen,2004-07-01,26.395103493489785,84.02434677811297,0.32121417229507243
Amnat Charoen,2004-08-01,26.48143722428341,83.06647380746284,0.2757358747285037
Amnat Charoen,2004-09-01,25.964333928068754,82.5246081871475,0.1438556656766348
Amnat Charoen,2004-10-01,25.826530397005854,64.58862623278509,0.0028898710038951147
Amnat Charoen,2004-11-01,25.214530603960554,60.32800587542714,0.009257203197962294
Amnat Charoen,2004-12-01,22.83275412123163,57.3667986722476,4.863848898402711e-05
Amnat Charoen,2005-01-01,23.411563769186955,57.35836349298785,0.0036315508678711208
Amnat Charoen,2005-02-01,27.650522758864383,51.65507798883277,0.0004863934770669426
Amnat Charoen,2005-03-01,26.66118058157508,55.59426236710681,0.01810639571136167
Amnat Charoen,2005-04-01,28.992880422196833,61.0278707163869,0.049008402796640815
Amnat Charoen,2005-05-01,29.00394928006915,70.12583902933689,0.15555472515682447
Amnat Charoen,2005-06-01,27.82905102311247,77.52363289422831,0.19692516257037232
Amnat Charoen,2005-07-01,26.820636528183115,82.26937174053474,0.20072913869718068
Amnat Charoen,2005-08-01,26.385044425055526,84.55013068254635,0.2500144995640621
Amnat Charoen,2005-09-01,25.987811749224875,86.42164523099714,0.25883125112760214
Amnat Charoen,2005-10-01,25.682459325410207,75.63144092550802,0.06049399275895742
Amnat Charoen,2005-11-01,24.806738935735723,72.77629074144433,0.04154294299223543
Amnat Charoen,2005-12-01,21.743283609013986,62.81392210249265,0.003357152464203508
Amnat Charoen,2006-01-01,23.182220608091313,58.51104582866685,7.648888991623602e-05
Amnat Charoen,2006-02-01,25.52957427914663,58.923454631872666,0.01642936790082404
Amnat Charoen,2006-03-01,27.75507584112387,59.72134386865786,0.05819819321621078
Amnat Charoen,2006-04-01,28.35752120372655,67.9954959759992,0.10076619843145417
Amnat Charoen,2006-05-01,27.66527304647576,71.37832574752187,0.15092254027080482
Amnat Charoen,2006-06-01,28.10073412829729,75.04977423308463,0.12969486387813775
Amnat Charoen,2006-07-01,26.676875880704245,82.21908230881479,0.3136033377583506
Amnat Charoen,2006-08-01,25.975131285768157,85.81785804043463,0.4347988501424544
Amnat Charoen,2006-09-01,26.101124489040387,81.12219134678477,0.18497873194048725
Amnat Charoen,2006-10-01,25.829014313273717,77.96154084727193,0.16603839647533966
Amnat Charoen,2006-11-01,26.64016310576659,65.66045271843917,0.008967231876787036
Amnat Charoen,2006-12-01,23.374884486500036,61.55593191066464,0.001538081624747687
Amnat Charoen,2007-01-01,22.555105970410352,58.867091778038784,0.0005233989548262012
Amnat Charoen,2007-02-01,26.3568613735481,55.54698470381325,0.017890946436230137
Amnat Charoen,2007-03-01,28.181082266519525,62.81177367096482,0.051668947215525514
Amnat Charoen,2007-04-01,28.782112730418305,59.52148812845923,0.04798430557358451
Amnat Charoen,2007-05-01,27.16249686292656,77.14359948356628,0.21589630658148026
Amnat Charoen,2007-06-01,28.06774880161396,77.8695978418036,0.16578931785265522
Amnat Charoen,2007-07-01,27.318333981569253,79.92692922783631,0.17375554530056736
Amnat Charoen,2007-08-01,26.259732230789837,84.91615613568403,0.48553692964723616
Amnat Charoen,2007-09-01,26.29742188093053,83.31795171629105,0.1930406704051701
Amnat Charoen,2007-10-01,24.75839700420073,81.13183738738351,0.29983118558002997
Amnat Charoen,2007-11-01,22.146682312713153,67.9565339803663,0.0425803215257626
Amnat Charoen,2007-12-01,24.28305217379011,64.7800545714214,0.00020447085564066184
Amnat Charoen,2008-01-01,22.5280788147503,60.961910045469594,0.010995725072241747
Amnat Charoen,2008-02-01,21.1125207454337,61.410510673482385,0.00203782391504783
Amnat Charoen,2008-03-01,26.655393261244285,58.83177829872217,0.03350908209022072
Amnat Charoen,2008-04-01,29.088175278014944,63.21446393647221,0.0502386856380484
Amnat Charoen,2008-05-01,26.66775584002812,79.19909575599681,0.23559885548662027
Amnat Charoen,2008-06-01,26.803962093029384,82.28894530626093,0.22803038688210514
Amnat Charoen,2008-07-01,26.719950868107276,81.90584685842826,0.2090479680813499
