ทั่วประเทศ|     31,845,971|     32,939,938|     64,785,909|     23,466,417|
กรุงเทพมหานคร|      2,694,921|      2,991,331|      5,686,252|      2,593,827|
ท้องถิ่นเขตพระนคร|         27,279|         29,405|         56,684|         19,257|
แขวงพระบรมมหาราชวัง|          2,695|          1,921|          4,616|          1,304|
แขวงวังบูรพาภิรมย์|          6,311|          5,924|         12,235|          5,344|
แขวงวัดราชบพิธ|          1,606|          1,978|          3,584|            982|
แขวงสำราญราษฎร์|          1,860|          1,800|          3,660|          1,135|
แขวงศาลเจ้าพ่อเสือ|          1,524|          2,013|          3,537|            992|
แขวงเสาชิงช้า|          1,192|          1,349|          2,541|            707|
แขวงบวรนิเวศ|          2,454|          3,240|          5,694|          1,637|
แขวงตลาดยอด|          1,271|          1,576|          2,847|          1,225|
แขวงชนะสงคราม|          1,028|          1,113|          2,141|            825|
แขวงบ้านพานถม|          3,262|          4,275|          7,537|          2,030|
แขวงบางขุนพรหม|          2,591|          2,548|          5,139|          2,104|
แขวงวัดสามพระยา|          1,485|          1,668|          3,153|            972|
ท้องถิ่นเขตดุสิต|         57,158|         49,653|        106,811|         32,082|
แขวงดุสิต|          9,105|          6,849|         15,954|          3,619|
แขวงวชิรพยาบาล|          5,411|          6,974|         12,385|          3,058|
แขวงสวนจิตรลดา|          4,823|          5,185|         10,008|          2,466|
แขวงสี่แยกมหานาค|          4,018|          4,038|          8,056|          2,416|
แขวงถนนนครไชยศรี|         33,801|         26,607|         60,408|         20,523|
ท้องถิ่นเขตหนองจอก|         77,988|         81,974|        159,962|         54,857|
แขวงกระทุ่มราย|         17,331|         18,275|         35,606|         13,741|
แขวงหนองจอก|          9,062|          9,645|         18,707|          6,163|
แขวงคลองสิบ|          4,223|          4,309|          8,532|          1,979|
แขวงคลองสิบสอง|          4,974|          5,128|         10,102|          3,162|
แขวงโคกแฝด|         15,975|         16,593|         32,568|         10,412|
แขวงคู้ฝั่งเหนือ|          8,130|          8,543|         16,673|          5,587|
แขวงลำผักชี|         13,847|         14,974|         28,821|         11,328|
แขวงลำต้อยติ่ง|          4,446|          4,507|          8,953|          2,485|
ท้องถิ่นเขตบางรัก|         21,792|         24,322|         46,114|         26,777|
แขวงมหาพฤฒาราม|          5,895|          6,666|         12,561|          4,944|
แขวงสีลม|          6,466|          7,069|         13,535|         11,042|
แขวงสุริยวงศ์|          2,511|          2,784|          5,295|          4,318|
แขวงบางรัก|          1,595|          1,576|          3,171|          1,245|
แขวงสี่พระยา|          5,325|          6,227|         11,552|          5,228|
ท้องถิ่นเขตบางเขน|         91,208|         99,336|        190,544|         95,741|
แขวงอนุสาวรีย์|         48,070|         49,751|         97,821|         51,053|
แขวงท่าแร้ง|         43,138|         49,585|         92,723|         44,688|
ท้องถิ่นเขตบางกะปิ|         67,959|         81,097|        149,056|         95,265|
แขวงคลองจั่น|         37,463|         44,582|         82,045|         45,684|
แขวงหัวหมาก|         30,496|         36,515|         67,011|         49,581|
ท้องถิ่นเขตปทุมวัน|         24,300|         28,313|         52,613|         26,970|
แขวงรองเมือง|          8,904|          9,654|         18,558|          6,910|
แขวงวังใหม่|          4,191|          4,281|          8,472|          5,026|
แขวงปทุมวัน|          2,128|          4,124|          6,252|          1,070|
แขวงลุมพินี|          9,077|         10,254|         19,331|         13,964|
ท้องถิ่นเขตป้อมปราบศัตรูพ่าย|         24,342|         25,750|         50,092|         19,529|
แขวงป้อมปราบ|          8,068|          8,540|         16,608|          6,438|
แขวงวัดเทพศิรินทร์|          3,878|          3,911|          7,789|          2,751|
แขวงคลองมหานาค|          4,870|          5,493|         10,363|          5,507|
แขวงบ้านบาตร|          3,798|          3,901|          7,699|          2,616|
แขวงวัดโสมนัส|          3,728|          3,905|          7,633|          2,217|
ท้องถิ่นเขตพระโขนง|         42,767|         50,007|         92,774|         45,125|
แขวงบางจาก|         42,767|         50,007|         92,774|         45,125|
ท้องถิ่นเขตมีนบุรี|         65,517|         73,144|        138,661|         53,584|
แขวงมีนบุรี|         44,603|         50,954|         95,557|         40,671|
แขวงแสนแสบ|         20,914|         22,190|         43,104|         12,913|
ท้องถิ่นเขตลาดกระบัง|         79,315|         86,409|        165,724|         77,688|
แขวงลาดกระบัง|         13,998|         15,326|         29,324|         14,828|
แขวงคลองสองต้นนุ่น|         31,246|         34,335|         65,581|         29,059|
แขวงคลองสามประเวศ|          7,264|          8,011|         15,275|          8,355|
แขวงลำปลาทิว|         10,401|         11,038|         21,439|         10,010|
แขวงทับยาว|         12,670|         13,782|         26,452|         13,177|
แขวงขุมทอง|          3,736|          3,917|          7,653|          2,259|
ท้องถิ่นเขตยานนาวา|         38,574|         42,588|         81,162|         47,980|
แขวงช่องนนทรี|         23,339|         26,206|         49,545|         29,846|
แขวงบางโพงพาง|         15,235|         16,382|         31,617|         18,134|
ท้องถิ่นเขตสัมพันธวงศ์|         13,088|         13,844|         26,932|         13,252|
แขวงจักรวรรดิ|          4,102|          4,135|          8,237|          5,020|
แขวงสัมพันธวงศ์|          5,028|          5,333|         10,361|          4,478|
แขวงตลาดน้อย|          3,958|          4,376|          8,334|          3,754|
ท้องถิ่นเขตพญาไท|         36,109|         36,386|         72,495|         38,415|
แขวงสามเสนใน|         36,109|         36,386|         72,495|         38,415|
ท้องถิ่นเขตธนบุรี|         55,653|         61,883|        117,536|         48,510|
แขวงวัดกัลยาณ์|          4,735|          5,377|         10,112|          2,746|
แขวงหิรัญรูจี|          6,221|          7,038|         13,259|          3,959|
แขวงบางยี่เรือ|         11,296|         12,137|         23,433|          7,567|
