ทั่วประเทศ|     32,556,271|     33,857,708|     66,413,979|     26,208,994|
กรุงเทพมหานคร|      2,679,453|      2,997,195|      5,676,648|      2,959,524|
ท้องถิ่นเขตพระนคร|         24,418|         25,964|         50,382|         19,101|
แขวงพระบรมมหาราชวัง|          2,416|          1,547|          3,963|          1,202|
แขวงวังบูรพาภิรมย์|          5,874|          5,443|         11,317|          5,361|
แขวงวัดราชบพิธ|          1,478|          1,800|          3,278|            984|
แขวงสำราญราษฎร์|          1,653|          1,568|          3,221|          1,139|
แขวงศาลเจ้าพ่อเสือ|          1,366|          1,894|          3,260|            999|
แขวงเสาชิงช้า|          1,043|          1,200|          2,243|            703|
แขวงบวรนิเวศ|          2,070|          2,629|          4,699|          1,580|
แขวงตลาดยอด|          1,083|          1,326|          2,409|          1,191|
แขวงชนะสงคราม|            912|            994|          1,906|            828|
แขวงบ้านพานถม|          2,913|          3,774|          6,687|          2,035|
แขวงบางขุนพรหม|          2,269|          2,251|          4,520|          2,109|
แขวงวัดสามพระยา|          1,341|          1,538|          2,879|            970|
ท้องถิ่นเขตดุสิต|         51,510|         43,344|         94,854|         31,294|
แขวงดุสิต|          7,325|          5,258|         12,583|          2,533|
แขวงวชิรพยาบาล|          4,704|          6,104|         10,808|          3,062|
แขวงสวนจิตรลดา|          4,243|          4,578|          8,821|          2,471|
แขวงสี่แยกมหานาค|          3,651|          3,771|          7,422|          2,434|
แขวงถนนนครไชยศรี|         31,587|         23,633|         55,220|         20,794|
ท้องถิ่นเขตหนองจอก|         84,325|         88,665|        172,990|         63,210|
แขวงกระทุ่มราย|         18,981|         20,002|         38,983|         15,799|
แขวงหนองจอก|         10,519|         11,254|         21,773|          7,653|
แขวงคลองสิบ|          4,501|          4,521|          9,022|          2,280|
แขวงคลองสิบสอง|          5,622|          5,743|         11,365|          4,158|
แขวงโคกแฝด|         16,595|         17,195|         33,790|         11,635|
แขวงคู้ฝั่งเหนือ|          8,630|          9,133|         17,763|          6,056|
แขวงลำผักชี|         14,765|         15,975|         30,740|         12,767|
แขวงลำต้อยติ่ง|          4,712|          4,842|          9,554|          2,862|
ท้องถิ่นเขตบางรัก|         22,864|         25,343|         48,207|         32,045|
แขวงมหาพฤฒาราม|          5,204|          6,039|         11,243|          6,442|
แขวงสีลม|          8,861|          9,370|         18,231|         12,229|
แขวงสุริยวงศ์|          2,526|          2,732|          5,258|          4,915|
แขวงบางรัก|          1,383|          1,423|          2,806|          1,446|
แขวงสี่พระยา|          4,890|          5,779|         10,669|          7,013|
ท้องถิ่นเขตบางเขน|         91,384|         99,939|        191,323|        109,112|
แขวงอนุสาวรีย์|         46,702|         47,848|         94,550|         57,418|
แขวงท่าแร้ง|         44,682|         52,091|         96,773|         51,694|
ท้องถิ่นเขตบางกะปิ|         66,880|         79,961|        146,841|        104,234|
แขวงคลองจั่น|         36,220|         42,828|         79,048|         47,720|
แขวงหัวหมาก|         30,660|         37,133|         67,793|         56,514|
ท้องถิ่นเขตปทุมวัน|         22,128|         26,254|         48,382|         30,793|
แขวงรองเมือง|          8,193|          8,988|         17,181|          7,163|
แขวงวังใหม่|          3,534|          3,558|          7,092|          5,795|
แขวงปทุมวัน|          1,938|          4,120|          6,058|          1,076|
แขวงลุมพินี|          8,463|          9,588|         18,051|         16,759|
ท้องถิ่นเขตป้อมปราบศัตรูพ่าย|         22,212|         23,489|         45,701|         19,655|
แขวงป้อมปราบ|          7,462|          7,980|         15,442|          6,443|
แขวงวัดเทพศิรินทร์|          3,432|          3,477|          6,909|          2,749|
แขวงคลองมหานาค|          4,480|          5,011|          9,491|          5,655|
แขวงบ้านบาตร|          3,480|          3,452|          6,932|          2,601|
แขวงวัดโสมนัส|          3,358|          3,569|          6,927|          2,207|
ท้องถิ่นเขตพระโขนง|         40,555|         48,682|         89,237|         54,409|
แขวงบางจาก|         30,753|         37,348|         68,101|         38,512|
แขวงพระโขนงใต้|          9,802|         11,334|         21,136|         15,897|
ท้องถิ่นเขตมีนบุรี|         67,197|         75,114|        142,311|         59,822|
แขวงมีนบุรี|         45,433|         51,781|         97,214|         45,967|
แขวงแสนแสบ|         21,764|         23,333|         45,097|         13,855|
ท้องถิ่นเขตลาดกระบัง|         83,714|         91,948|        175,662|         93,589|
แขวงลาดกระบัง|         14,093|         15,863|         29,956|         17,999|
แขวงคลองสองต้นนุ่น|         32,161|         35,494|         67,655|         32,265|
แขวงคลองสามประเวศ|          7,445|          8,340|         15,785|         11,206|
แขวงลำปลาทิว|         11,746|         12,586|         24,332|         12,642|
แขวงทับยาว|         14,246|         15,545|         29,791|         16,718|
แขวงขุมทอง|          4,023|          4,120|          8,143|          2,759|
ท้องถิ่นเขตยานนาวา|         36,653|         41,378|         78,031|         51,655|
แขวงช่องนนทรี|         22,432|         25,845|         48,277|         32,674|
แขวงบางโพงพาง|         14,221|         15,533|         29,754|         18,981|
ท้องถิ่นเขตสัมพันธวงศ์|         11,467|         12,188|         23,655|         13,206|
แขวงจักรวรรดิ|          3,603|          3,719|          7,322|          5,038|
แขวงสัมพันธวงศ์|          4,239|          4,501|          8,740|          4,415|
แขวงตลาดน้อย|          3,625|          3,968|          7,593|          3,753|
ท้องถิ่นเขตพญาไท|         35,293|         35,048|         70,341|         42,662|
แขวงสามเสนใน|         18,658|         15,446|         34,104|         20,256|
แขวงพญาไท|         16,635|         19,602|         36,237|         22,406|
ท้องถิ่นเขตธนบุรี|         50,709|         57,045|        107,754|         56,237|
แขวงวัดกัลยาณ์|          4,190|          4,752|          8,942|          2,762|
แขวงหิรัญรูจี|          5,751|          6,501|         12,252|          3,966|
แขวงบางยี่เรือ|         10,194|         11,007|         21,201|          7,968|
แขวงบุคคโล|          8,040|          9,158|         17,198|         12,980|
แขวงตลาดพลู|          7,300|          8,261|         15,561|          8,071|
แขวงดาวคะนอง|          8,115|          9,246|         17,361|         11,878|
แขวงสำเหร่|          7,119|          8,120|         15,239|          8,612|
ท้องถิ่นเขตบางกอกใหญ่|         32,024|         35,187|         67,211|         30,866|
แขวงวัดอรุณ|          7,268|          6,832|         14,100|          4,163|
แขวงวัดท่าพระ|         24,756|         28,355|         53,111|         26,703|
ท้องถิ่นเขตห้วยขวาง|         37,021|         44,668|         81,689|         79,768|
แขวงห้วยขวาง|         11,639|         14,240|         25,879|         30,337|
แขวงบางกะปิ|          8,229|          9,377|         17,606|         25,609|
แขวงสามเสนนอก|         17,153|         21,051|         38,204|         23,822|
ท้องถิ่นเขตคลองสาน|         33,606|         38,565|         72,171|         38,830|
แขวงสมเด็จเจ้าพระยา|          6,124|          6,903|         13,027|          5,051|
แขวงคลองสาน|          7,669|          8,379|         16,048|          5,861|
แขวงบางลำภูล่าง|         11,271|         13,073|         24,344|         13,299|
แขวงคลองต้นไทร|          8,542|         10,210|         18,752|         14,619|
ท้องถิ่นเขตตลิ่งชัน|         49,175|         55,872|        105,047|         42,138|
แขวงคลองชักพระ|          4,975|          5,541|         10,516|          4,588|
แขวงตลิ่งชัน|         11,633|         13,374|         25,007|         11,329|
แขวงฉิมพลี|         11,291|         13,045|         24,336|          9,410|
แขวงบางพรม|          6,552|          7,206|         13,758|          4,761|
แขวงบางระมาด|          9,175|         10,395|         19,570|          7,818|
แขวงบางเชือกหนัง|          5,549|          6,311|         11,860|          4,232|
ท้องถิ่นเขตบางกอกน้อย|         52,939|         57,478|        110,417|         49,111|
แขวงศิริราช|          9,021|          7,796|         16,817|          4,335|
แขวงบ้านช่างหล่อ|         15,549|         16,008|         31,557|         12,087|
แขวงบางขุนนนท์|          4,400|          5,149|          9,549|          4,436|
แขวงบางขุนศรี|         14,770|         17,558|         32,328|         14,691|
แขวงอรุณอมรินทร์|          9,199|         10,967|         20,166|         13,562|
ท้องถิ่นเขตบางขุนเทียน|         86,836|         97,042|        183,878|         88,455|
แขวงท่าข้าม|         27,897|         31,065|         58,962|         29,091|
แขวงแสมดำ|         58,939|         65,977|        124,916|         59,364|
ท้องถิ่นเขตภาษีเจริญ|         59,128|         66,853|        125,981|         58,891|
แขวงบางหว้า|         17,821|         20,084|         37,905|         20,754|
แขวงบางด้วน|         13,690|         15,218|         28,908|         10,597|
แขวงบางจาก|          3,784|          4,435|          8,219|          3,645|
แขวงบางแวก|          8,697|         10,121|         18,818|          9,276|
แขวงคลองขวาง|          5,259|          5,834|         11,093|          3,628|
แขวงปากคลองภาษีเจริญ|          6,934|          7,844|         14,778|          9,082|
แขวงคูหาสวรรค์|          2,943|          3,317|          6,260|          1,909|
ท้องถิ่นเขตหนองแขม|         72,960|         83,307|        156,267|         60,680|
แขวงหนองแขม|         36,967|         43,092|         80,059|         29,832|
แขวงหนองค้างพลู|         35,993|         40,215|         76,208|         30,848|
ท้องถิ่นเขตราษฎร์บูรณะ|         39,138|         42,668|         81,806|         37,036|
แขวงราษฎร์บูรณะ|         15,401|         17,189|         32,590|         13,832|
แขวงบางปะกอก|         23,737|         25,479|         49,216|         23,204|
ท้องถิ่นเขตบางพลัด|         41,984|         49,294|         91,278|         53,656|
แขวงบางพลัด|         10,862|         12,449|         23,311|          9,443|
แขวงบางอ้อ|         11,345|         13,363|         24,708|         13,718|
แขวงบางบำหรุ|          8,195|         10,319|         18,514|         13,073|
แขวงบางยี่ขัน|         11,582|         13,163|         24,745|         17,422|
ท้องถิ่นเขตดินแดง|         55,957|         64,804|        120,761|         61,149|
แขวงดินแดง|         35,026|         40,753|         75,779|         37,046|
แขวงรัชดาภิเษก|         20,931|         24,051|         44,982|         24,103|
ท้องถิ่นเขตบึงกุ่ม|         65,285|         77,705|        142,990|         74,526|
แขวงคลองกุ่ม|         31,956|         37,529|         69,485|         34,724|
แขวงนวมินทร์|         12,480|         15,076|         27,556|         12,731|
แขวงนวลจันทร์|         20,849|         25,100|         45,949|         27,071|
ท้องถิ่นเขตสาทร|         37,428|         41,432|         78,860|         42,255|
แขวงทุ่งวัดดอน|         18,117|         20,724|         38,841|         17,785|
แขวงยานนาวา|          9,683|         10,780|         20,463|         10,489|
แขวงทุ่งมหาเมฆ|          9,628|          9,928|         19,556|         13,981|
ท้องถิ่นเขตบางซื่อ|         58,805|         66,494|        125,299|         69,594|
แขวงบางซื่อ|         38,917|         42,717|         81,634|         44,835|
แขวงวงศ์สว่าง|         19,888|         23,777|         43,665|         24,759|
ท้องถิ่นเขตจตุจักร|         72,703|         83,220|        155,923|        113,553|
แขวงลาดยาว|         19,826|         22,734|         42,560|         27,325|
แขวงเสนานิคม|          9,400|         10,469|         19,869|         15,694|
แขวงจันทรเกษม|         18,104|         20,650|         38,754|         25,856|
แขวงจอมพล|         13,931|         17,413|         31,344|         31,203|
แขวงจตุจักร|         11,442|         11,954|         23,396|         13,475|
ท้องถิ่นเขตบางคอแหลม|         42,014|         46,274|         88,288|         39,353|
แขวงบางคอแหลม|         11,837|         13,106|         24,943|         10,312|
แขวงวัดพระยาไกร|         12,547|         13,733|         26,280|         10,323|
แขวงบางโคล่|         17,630|         19,435|         37,065|         18,718|
ท้องถิ่นเขตประเวศ|         83,840|         94,450|        178,290|         87,588|
แขวงประเวศ|         40,809|         45,686|         86,495|         35,484|
แขวงหนองบอน|         19,552|         22,528|         42,080|         23,496|
แขวงดอกไม้|         23,479|         26,236|         49,715|         28,608|
ท้องถิ่นเขตคลองเตย|         48,410|         53,133|        101,543|         72,180|
แขวงคลองเตย|         32,686|         34,660|         67,346|         33,423|
แขวงคลองตัน|          5,109|          5,992|         11,101|         14,323|
แขวงพระโขนง|         10,615|         12,481|         23,096|         24,434|
ท้องถิ่นเขตสวนหลวง|         56,370|         66,656|        123,026|         76,684|
แขวงสวนหลวง|         21,328|         25,297|         46,625|         30,889|
แขวงอ่อนนุช|         20,691|         24,596|         45,287|         27,260|
แขวงพัฒนาการ|         14,351|         16,763|         31,114|         18,535|
ท้องถิ่นเขตจอมทอง|         71,982|         79,192|        151,174|         71,106|
แขวงบางขุนเทียน|         17,400|         19,079|         36,479|         14,497|
แขวงบางค้อ|         16,792|         18,485|         35,277|         17,862|
แขวงบางมด|         21,118|         23,707|         44,825|         23,072|
แขวงจอมทอง|         16,672|         17,921|         34,593|         15,675|
ท้องถิ่นเขตดอนเมือง|         84,246|         85,013|        169,259|         75,954|
แขวงสีกัน|         32,096|         30,997|         63,093|         27,550|
แขวงดอนเมือง|         38,733|         43,913|         82,646|         38,370|
แขวงสนามบิน|         13,417|         10,103|         23,520|         10,034|
ท้องถิ่นเขตราชเทวี|         34,496|         37,456|         71,952|         49,014|
แขวงทุ่งพญาไท|         16,030|         16,714|         32,744|         10,396|
แขวงถนนพญาไท|          4,067|          4,990|          9,057|         10,874|
แขวงถนนเพชรบุรี|          6,782|          7,769|         14,551|         11,593|
แขวงมักกะสัน|          7,617|          7,983|         15,600|         16,151|
ท้องถิ่นเขตลาดพร้าว|         54,372|         65,337|        119,709|         56,470|
แขวงลาดพร้าว|         42,044|         50,200|         92,244|         44,648|
แขวงจรเข้บัว|         12,328|         15,137|         27,465|         11,822|
ท้องถิ่นเขตวัฒนา|         40,274|         45,368|         85,642|         72,939|
แขวงคลองเตยเหนือ|          4,069|          4,735|          8,804|         16,304|
แขวงคลองตันเหนือ|         26,177|         28,257|         54,434|         36,715|
แขวงพระโขนงเหนือ|         10,028|         12,376|         22,404|         19,920|
ท้องถิ่นเขตบางแค|         90,122|        103,193|        193,315|         91,765|
แขวงบางแค|         18,327|         20,767|         39,094|         25,190|
แขวงบางแคเหนือ|         27,918|         32,388|         60,306|         28,113|
แขวงบางไผ่|         18,987|         21,290|         40,277|         14,212|
แขวงหลักสอง|         24,890|         28,748|         53,638|         24,250|
ท้องถิ่นเขตหลักสี่|         49,791|         54,786|        104,577|         55,802|
แขวงทุ่งสองห้อง|         36,740|         39,717|         76,457|         39,222|
แขวงตลาดบางเขน|         13,051|         15,069|         28,120|         16,580|
ท้องถิ่นเขตสายไหม|         96,106|        108,426|        204,532|        100,196|
แขวงสายไหม|         37,446|         43,285|         80,731|         34,505|
แขวงออเงิน|         18,245|         20,311|         38,556|         22,867|
แขวงคลองถนน|         40,415|         44,830|         85,245|         42,824|
ท้องถิ่นเขตคันนายาว|         45,500|         51,687|         97,187|         44,234|
แขวงคันนายาว|         22,794|         24,906|         47,700|         18,053|
แขวงรามอินทรา|         22,706|         26,781|         49,487|         26,181|
ท้องถิ่นเขตสะพานสูง|         43,971|         51,865|         95,836|         38,441|
แขวงสะพานสูง|         13,217|         15,792|         29,009|         10,985|
แขวงราษฎร์พัฒนา|         19,528|         23,010|         42,538|         17,202|
แขวงทับช้าง|         11,226|         13,063|         24,289|         10,254|
ท้องถิ่นเขตวังทองหลาง|         50,916|         60,377|        111,293|         60,679|
แขวงวังทองหลาง|         11,381|         13,551|         24,932|         13,303|
แขวงสะพานสอง|          5,459|          6,540|         11,999|          6,597|
แขวงคลองเจ้าคุณสิงห์|         13,556|         15,937|         29,493|         13,641|
แขวงพลับพลา|         20,520|         24,349|         44,869|         27,138|
ท้องถิ่นเขตคลองสามวา|         93,614|        104,405|        198,019|         82,412|
แขวงสามวาตะวันตก|         26,788|         29,882|         56,670|         23,595|
แขวงสามวาตะวันออก|         12,597|         13,467|         26,064|          9,087|
แขวงบางชัน|         39,982|         45,861|         85,843|         40,135|
แขวงทรายกองดิน|          6,011|          6,620|         12,631|          4,952|
แขวงทรายกองดินใต้|          8,236|          8,575|         16,811|          4,643|
ท้องถิ่นเขตบางนา|         42,160|         47,988|         90,148|         67,609|
แขวงบางนา|              1|              3|              4|              0|
แขวงบางนาเหนือ|         19,382|         22,851|         42,233|         31,770|
แขวงบางนาใต้|         22,777|         25,134|         47,911|         35,839|
ท้องถิ่นเขตทวีวัฒนา|         36,420|         41,974|         78,394|         33,370|
แขวงทวีวัฒนา|         10,764|         12,114|         22,878|          8,825|
แขวงศาลาธรรมสพน์|         25,656|         29,860|         55,516|         24,545|
ท้องถิ่นเขตทุ่งครุ|         57,449|         64,847|        122,296|         51,957|
แขวงบางมด|         25,720|         29,380|         55,100|         26,527|
แขวงทุ่งครุ|         31,729|         35,467|         67,196|         25,430|
ท้องถิ่นเขตบางบอน|         51,102|         55,817|        106,919|         50,239|
แขวงบางบอน|              0|              0|              0|              3|
แขวงบางบอนเหนือ|         10,734|         11,738|         22,472|          9,940|
แขวงบางบอนใต้|         12,021|         13,210|         25,231|          9,247|
แขวงคลองบางพราน|         15,961|         17,531|         33,492|         17,326|
แขวงคลองบางบอน|         12,386|         13,338|         25,724|         13,723|
จังหวัดสมุทรปราการ |        634,679|        691,929|      1,326,608|        675,382|
อำเภอเมืองสมุทรปราการ|         58,171|         64,112|        122,283|         55,593|
ตำบลแพรกษา |         16,529|         18,464|         34,993|         15,018|
ตำบลบางโปรง |          4,954|          5,285|         10,239|          3,963|
ตำบลบางด้วน |          3,856|          4,136|          7,992|          3,267|
ตำบลเทพารักษ์ |         10,442|         11,858|         22,300|         11,358|
ตำบลแพรกษาใหม่ |         22,390|         24,369|         46,759|         21,987|
อำเภอบางบ่อ|         43,226|         45,395|         88,621|         40,697|
ตำบลบางบ่อ |         13,178|         14,029|         27,207|         15,988|
ตำบลบ้านระกาศ |          3,261|          3,375|          6,636|          2,265|
ตำบลบางพลีน้อย |          4,524|          4,630|          9,154|          2,920|
ตำบลบางเพรียง |         10,174|         10,895|         21,069|         12,058|
ตำบลคลองด่าน |          8,443|          8,654|         17,097|          4,716|
ตำบลเปร็ง |          2,070|          2,187|          4,257|          1,453|
ตำบลคลองนิยมยาตรา |          1,576|          1,625|          3,201|          1,297|
อำเภอบางพลี|        117,219|        131,849|        249,068|        156,304|
ตำบลบางพลีใหญ่ |         39,418|         43,983|         83,401|         48,960|
ตำบลบางแก้ว |         26,241|         30,708|         56,949|         36,221|
ตำบลบางปลา |         15,561|         17,091|         32,652|         16,736|
ตำบลบางโฉลง |         19,977|         22,223|         42,200|         31,949|
ตำบลราชาเทวะ |         14,585|         16,366|         30,951|         20,806|
ตำบลหนองปรือ |          1,437|          1,478|          2,915|          1,632|
อำเภอพระประแดง|         18,840|         20,386|         39,226|         13,209|
ตำบลบางยอ |          5,440|          5,874|         11,314|          3,588|
ตำบลบางกะเจ้า |          2,472|          2,699|          5,171|          1,850|
ตำบลบางน้ำผึ้ง |          2,349|          2,595|          4,944|          1,529|
ตำบลบางกระสอบ |          1,370|          1,499|          2,869|            897|
ตำบลบางกอบัว |          3,452|          3,771|          7,223|          2,594|
ตำบลทรงคนอง |          3,757|          3,948|          7,705|          2,751|
อำเภอพระสมุทรเจดีย์|         52,252|         55,793|        108,045|         49,228|
ตำบลนาเกลือ |          5,675|          6,029|         11,704|          4,705|
ตำบลบ้านคลองสวน |         12,298|         13,688|         25,986|         13,826|
ตำบลแหลมฟ้าผ่า |          2,951|          2,061|          5,012|          1,754|
ตำบลในคลองบางปลากด |         31,328|         34,015|         65,343|         28,943|
อำเภอบางเสาธง|         27,037|         28,670|         55,707|         40,435|
ตำบลบางเสาธง |         15,014|         15,804|         30,818|         23,426|
ตำบลศีรษะจรเข้น้อย |          6,595|          7,176|         13,771|          8,466|
ตำบลศีรษะจรเข้ใหญ่ |          5,428|          5,690|         11,118|          8,543|
ท้องถิ่นเทศบาลเมืองปากน้ำสมุทรปราการ|         15,576|         17,525|         33,101|         13,579|
ตำบลบางเมือง |         15,576|         17,525|         33,101|         13,579|
ท้องถิ่นเทศบาลตำบลบางเสาธง|         10,929|         11,731|         22,660|         16,872|
ตำบลบางเสาธง |         10,399|         11,119|         21,518|         16,432|
ตำบลศีรษะจรเข้ใหญ่ |            530|            612|          1,142|            440|
ท้องถิ่นเทศบาลตำบลแหลมฟ้าผ่า|         10,228|         10,740|         20,968|          8,772|
ตำบลแหลมฟ้าผ่า |          7,066|          7,293|         14,359|          5,531|
ตำบลในคลองบางปลากด |          3,162|          3,447|          6,609|          3,241|
ท้องถิ่นเทศบาลตำบลพระสมุทรเจดีย์|          6,235|          6,377|         12,612|          5,667|
ตำบลปากคลองบางปลากด |          6,235|          6,377|         12,612|          5,667|
ท้องถิ่นเทศบาลตำบลบางพลี|          5,923|          6,042|         11,965|          2,171|
ตำบลบางพลีใหญ่ |          5,666|          5,744|         11,410|          2,019|
ตำบลบางปลา |             80|             87|            167|             72|
ตำบลบางโฉลง |            177|            211|            388|             80|
ท้องถิ่นเทศบาลตำบลบางบ่อ|          3,133|          3,363|          6,496|          2,213|
ตำบลบางบ่อ |          3,133|          3,363|          6,496|          2,213|
ท้องถิ่นเทศบาลตำบลคลองสวน|          1,565|          1,636|          3,201|            835|
ตำบลคลองสวน |          1,565|          1,636|          3,201|            835|
ท้องถิ่นเทศบาลตำบลคลองด่าน|          5,685|          5,845|         11,530|          3,098|
ตำบลคลองด่าน |          5,685|          5,845|         11,530|          3,098|
ท้องถิ่นเทศบาลตำบลบางปู|         58,005|         61,755|        119,760|         56,080|
ตำบลท้ายบ้าน |         12,497|         13,062|         25,559|         11,370|
ตำบลบางปูใหม่ |         19,327|         20,108|         39,435|         21,520|
ตำบลบางปู |          3,285|          3,444|          6,729|          2,162|
ตำบลท้ายบ้านใหม่ |         22,896|         25,141|         48,037|         21,028|
ท้องถิ่นเทศบาลตำบลแพรกษา|         12,846|         14,459|         27,305|         15,284|
ตำบลแพรกษา |         12,026|         13,530|         25,556|         14,011|
ตำบลแพรกษาใหม่ |            820|            929|          1,749|          1,273|
ท้องถิ่นเทศบาลตำบลบางเมือง|         47,458|         53,774|        101,232|         49,174|
ตำบลบางเมือง |         16,608|         18,653|         35,261|         14,768|
ตำบลบางเมืองใหม่ |         22,454|         25,312|         47,766|         17,152|
ตำบลเทพารักษ์ |          8,396|          9,809|         18,205|         17,254|
ท้องถิ่นเทศบาลตำบลด่านสำโรง|         26,220|         29,606|         55,826|         24,971|
ตำบลสำโรงเหนือ |         26,220|         29,606|         55,826|         24,971|
ท้องถิ่นเทศบาลเมืองปู่เจ้าสมิงพราย|         35,890|         37,915|         73,805|         35,125|
ตำบลบางหญ้าแพรก |         10,201|         10,740|         20,941|          8,756|
ตำบลบางหัวเสือ |          6,158|          6,504|         12,662|          4,585|
ตำบลสำโรงใต้ |          6,244|          6,421|         12,665|          7,400|
ตำบลสำโรง |          7,580|          8,209|         15,789|          7,917|
ตำบลสำโรงกลาง |          5,707|          6,041|         11,748|          6,467|
ท้องถิ่นเทศบาลตำบลสำโรงเหนือ|         13,879|         16,098|         29,977|         26,042|
ตำบลสำโรงเหนือ |          7,668|          9,001|         16,669|         15,677|
ตำบลบางเมืองใหม่ |          2,013|          2,201|          4,214|          1,752|
ตำบลเทพารักษ์ |          4,198|          4,896|          9,094|          8,613|
ท้องถิ่นเทศบาลเมืองลัดหลวง|         34,723|         37,540|         72,263|         37,276|
ตำบลบางพึ่ง |         11,436|         12,745|         24,181|         13,549|
ตำบลบางจาก |         10,888|         11,285|         22,173|         10,972|
